,app,review,rating,tokenized_review,replaced_review
2576,7분 운동,운동을 꾸준히! 라지만 다들 힘들어하는 이유가 시간을 많이 투자해야 해서죠? 근데 이거 7분짜리라 부담이 적어요! 프로그램도 잘 짜였구요! 대신 운동이 격해서 미끄러질 수 있으니 실내용 운동화 필수!,5,운동 라지 이유 투자 부담 프로그램 운동 실내 운동 필수,운동 라지 이유 투자 부담 프로그램 운동 실내 운동 필수
2577,7분 운동,쭈러쭈러,5,,
2578,7분 운동,운동하기 좋아요,5,운동,운동
2579,7분 운동,구웃 sooo good,5,,
2580,7분 운동,꾸준히 하겠습니다,5,,
2581,7분 운동,첫날인데 정말 만족합니다,5,만족,만족
2582,7분 운동,좋아요 ^^,5,,
2583,7분 운동,잘 사용하고 있습니다.,5,,
2584,7분 운동,좋습니다,5,,
2585,7분 운동,매일 운동하기에 정말 좋습니다.. 점점 강도가 세져요,5,운동 강도,운동 강도
2586,7분 운동,살 이걸로 다 빠져요,5,,
2587,7분 운동,굿,5,,
2588,7분 운동,좋아요,5,,
2589,7분 운동,좋아요,5,,
2590,7분 운동,7분동안 휴식 및 운동이 적절해요,5,운동,운동
2591,7분 운동,노력하면 이루어질듯,4,노력,노력
2592,7분 운동,말이필요없어요,5,필요,필요
2593,7분 운동,말이 필요읍다,5,필요,필요
2594,7분 운동,운동 가기 멀고 집에서 하고싶을때 정말 좋습니다!짱,5,운동,운동
2595,7분 운동,7~8분이면 운동할 수 있고 여기서 다 알려줘서 따라만 하면 되니까 편리해요!,5,운동 편리,운동 편리
2596,7분 운동,신선합니다. 집에서 운동하는데 혼자하는것보다  앱으로 같이 운동하니 훨씬 도움됩니다.,4,운동 운동 도움,운동 운동 도움
2597,7분 운동,7분 동안 하니 땀이나네요,5,,
2598,7분 운동,1분 1초가 아까운 나같은 하드코어 직장인에게 이보다 더 좋은 운동 어플이 있을까 싶을정도로 너무 좋다 강추,5,하드코어 직장인 운동 강추,하드코어 직장인 운동 강추
2599,7분 운동,very very good,5,,
2600,7분 운동,설명이 따로필요한가요 당장 따라해보세요,5,설명 필요,설명 필요
2601,7분 운동,운동이 끝나면 소모열량을 잘모르겠어요,5,운동 소모열,운동 소모열
2602,7분 운동,7분이라고 무시할 수가 없네요,5,무시,무시
2603,7분 운동,운동하기좋음,5,운동,운동
2604,7분 운동,지짜조흠,5,,
2605,7분 운동,매일매일 운동합시다,4,운동,운동
2606,7분 운동,귀찮아서 운동을 못했는데 7분이라는 시간이 부담으로 안다가와서 시작했습니다. 근데 난이도는 힘든듯ㅋㅋ,5,운동 부담 시작 난이도,운동 부담 시작 난이도
2607,7분 운동,쓸만하네요,5,,
2608,7분 운동,"날짜별 체크 스스로 해주고, 이름명, 동작, 시간, 칼로리도 체크해주고 효과도 진짜좋음 강추",5,날짜 체크 이름 동작 칼로리 체크 강추,날짜 체크 이름 동작 칼로리 체크 강추
2609,7분 운동,굿,5,,
2610,7분 운동,너무 좋은것 같네용.,5,,
2611,7분 운동,좋네요,5,,
2612,7분 운동,최고,5,최고,최고
2613,7분 운동,최고입니다ㅎㅎ,5,최고,최고
2614,7분 운동,몸풀기로 딱,5,몸풀기,몸풀기
2615,7분 운동,따라하기쉽고 무료고ㅋㅋ시간알려주고짱짱맨,5,무료,무료
2616,7분 운동,Very good,5,,
2617,7분 운동,아주 친절한 설명과 계획을 세우고 날마다 실천하는 것이 좋다,5,친절 설명 계획 실천,친절 설명 계획 실천
2618,7분 운동,완전좋으다,5,,
